Make,Fuel,Style,Drive,Length,Weight,Engine Size
alfa-romero,gas,convertible,rwd,168.8,2548,130
alfa-romero,gas,convertible,rwd,168.8,2548,130
alfa-romero,gas,hatchback,rwd,171.2,2823,152
audi,gas,sedan,fwd,176.6,2337,109
audi,gas,sedan,4wd,176.6,2824,136
audi,gas,sedan,fwd,177.3,2507,136
audi,gas,sedan,fwd,192.7,2844,136
audi,gas,wagon,fwd,192.7,2954,136
audi,gas,sedan,fwd,192.7,3086,131
audi,gas,hatchback,4wd,178.2,3053,131
bmw,gas,sedan,rwd,176.8,2395,108
bmw,gas,sedan,rwd,176.8,2395,108
bmw,gas,sedan,rwd,176.8,2710,164
bmw,gas,sedan,rwd,176.8,2765,164
bmw,gas,sedan,rwd,189,3055,164
bmw,gas,sedan,rwd,189,3230,209
bmw,gas,sedan,rwd,193.8,3380,209
bmw,gas,sedan,rwd,197,3505,209
chevrolet,gas,hatchback,fwd,141.1,1488,61
chevrolet,gas,hatchback,fwd,155.9,1874,90
chevrolet,gas,sedan,fwd,158.8,1909,90
dodge,gas,hatchback,fwd,157.3,1876,90
dodge,gas,hatchback,fwd,157.3,1876,90
dodge,gas,hatchback,fwd,157.3,2128,98
dodge,gas,hatchback,fwd,157.3,1967,90
dodge,gas,sedan,fwd,157.3,1989,90
dodge,gas,sedan,fwd,157.3,1989,90
dodge,gas,sedan,fwd,157.3,2191,98
dodge,gas,wagon,fwd,174.6,2535,122
dodge,gas,hatchback,fwd,173.2,2811,156
honda,gas,hatchback,fwd,144.6,1713,92
honda,gas,hatchback,fwd,144.6,1819,92
honda,gas,hatchback,fwd,150,1837,79
honda,gas,hatchback,fwd,150,1940,92
honda,gas,hatchback,fwd,150,1956,92
honda,gas,sedan,fwd,163.4,2010,92
honda,gas,wagon,fwd,157.1,2024,92
honda,gas,hatchback,fwd,167.5,2236,110
honda,gas,hatchback,fwd,167.5,2289,110
honda,gas,sedan,fwd,175.4,2304,110
honda,gas,sedan,fwd,175.4,2372,110
honda,gas,sedan,fwd,175.4,2465,110
honda,gas,sedan,fwd,169.1,2293,110
isuzu,gas,sedan,rwd,170.7,2337,111
isuzu,gas,sedan,fwd,155.9,1874,90
isuzu,gas,sedan,fwd,155.9,1909,90
isuzu,gas,hatchback,rwd,172.6,2734,119
jaguar,gas,sedan,rwd,199.6,4066,258
jaguar,gas,sedan,rwd,199.6,4066,258
jaguar,gas,sedan,rwd,191.7,3950,326
mazda,gas,hatchback,fwd,159.1,1890,91
mazda,gas,hatchback,fwd,159.1,1900,91
mazda,gas,hatchback,fwd,159.1,1905,91
mazda,gas,sedan,fwd,166.8,1945,91
mazda,gas,sedan,fwd,166.8,1950,91
mazda,gas,hatchback,rwd,169,2380,70
mazda,gas,hatchback,rwd,169,2380,70
mazda,gas,hatchback,rwd,169,2385,70
mazda,gas,hatchback,rwd,169,2500,80
mazda,gas,hatchback,fwd,177.8,2385,122
mazda,gas,sedan,fwd,177.8,2410,122
mazda,gas,hatchback,fwd,177.8,2385,122
mazda,gas,sedan,fwd,177.8,2410,122
mazda,diesel,sedan,fwd,177.8,2443,122
mazda,gas,hatchback,fwd,177.8,2425,122
mazda,gas,sedan,rwd,175,2670,140
mazda,diesel,sedan,rwd,175,2700,134
mercedes-benz,diesel,sedan,rwd,190.9,3515,183
mercedes-benz,diesel,wagon,rwd,190.9,3750,183
mercedes-benz,diesel,hardtop,rwd,187.5,3495,183
mercedes-benz,diesel,sedan,rwd,202.6,3770,183
mercedes-benz,gas,sedan,rwd,202.6,3740,234
mercedes-benz,gas,convertible,rwd,180.3,3685,234
mercedes-benz,gas,sedan,rwd,208.1,3900,308
mercedes-benz,gas,hardtop,rwd,199.2,3715,304
mercury,gas,hatchback,rwd,178.4,2910,140
mitsubishi,gas,hatchback,fwd,157.3,1918,92
mitsubishi,gas,hatchback,fwd,157.3,1944,92
mitsubishi,gas,hatchback,fwd,157.3,2004,92
mitsubishi,gas,hatchback,fwd,157.3,2145,98
mitsubishi,gas,hatchback,fwd,173,2370,110
mitsubishi,gas,hatchback,fwd,173,2328,122
mitsubishi,gas,hatchback,fwd,173.2,2833,156
mitsubishi,gas,hatchback,fwd,173.2,2921,156
mitsubishi,gas,hatchback,fwd,173.2,2926,156
mitsubishi,gas,sedan,fwd,172.4,2365,122
mitsubishi,gas,sedan,fwd,172.4,2405,122
mitsubishi,gas,sedan,fwd,172.4,2403,110
mitsubishi,gas,sedan,fwd,172.4,2403,110
nissan,gas,sedan,fwd,165.3,1889,97
nissan,diesel,sedan,fwd,165.3,2017,103
nissan,gas,sedan,fwd,165.3,1918,97
nissan,gas,sedan,fwd,165.3,1938,97
nissan,gas,wagon,fwd,170.2,2024,97
nissan,gas,sedan,fwd,165.3,1951,97
nissan,gas,hatchback,fwd,165.6,2028,97
nissan,gas,sedan,fwd,165.3,1971,97
nissan,gas,wagon,fwd,170.2,2037,97
nissan,gas,hardtop,fwd,162.4,2008,97
nissan,gas,hatchback,fwd,173.4,2324,120
nissan,gas,sedan,fwd,173.4,2302,120
nissan,gas,sedan,fwd,181.7,3095,181
nissan,gas,wagon,fwd,184.6,3296,181
nissan,gas,sedan,fwd,184.6,3060,181
nissan,gas,hatchback,rwd,170.7,3071,181
nissan,gas,hatchback,rwd,170.7,3139,181
nissan,gas,hatchback,rwd,178.5,3139,181
peugot,gas,sedan,rwd,186.7,3020,120
peugot,diesel,sedan,rwd,186.7,3197,152
peugot,gas,wagon,rwd,198.9,3230,120
peugot,diesel,wagon,rwd,198.9,3430,152
peugot,gas,sedan,rwd,186.7,3075,120
peugot,diesel,sedan,rwd,186.7,3252,152
peugot,gas,wagon,rwd,198.9,3285,120
peugot,diesel,wagon,rwd,198.9,3485,152
peugot,gas,sedan,rwd,186.7,3075,120
peugot,diesel,sedan,rwd,186.7,3252,152
peugot,gas,sedan,rwd,186.7,3130,134
plymouth,gas,hatchback,fwd,157.3,1918,90
plymouth,gas,hatchback,fwd,157.3,2128,98
plymouth,gas,hatchback,fwd,157.3,1967,90
plymouth,gas,sedan,fwd,167.3,1989,90
plymouth,gas,sedan,fwd,167.3,2191,98
plymouth,gas,wagon,fwd,174.6,2535,122
plymouth,gas,hatchback,rwd,173.2,2818,156
porsche,gas,hatchback,rwd,168.9,2778,151
porsche,gas,hardtop,rwd,168.9,2756,194
porsche,gas,hardtop,rwd,168.9,2756,194
porsche,gas,convertible,rwd,168.9,2800,194
porsche,gas,hatchback,rwd,175.7,3366,203
renault,gas,wagon,fwd,181.5,2579,132
renault,gas,hatchback,fwd,176.8,2460,132
saab,gas,hatchback,fwd,186.6,2658,121
saab,gas,sedan,fwd,186.6,2695,121
saab,gas,hatchback,fwd,186.6,2707,121
saab,gas,sedan,fwd,186.6,2758,121
saab,gas,hatchback,fwd,186.6,2808,121
saab,gas,sedan,fwd,186.6,2847,121
subaru,gas,hatchback,fwd,156.9,2050,97
subaru,gas,hatchback,fwd,157.9,2120,108
subaru,gas,hatchback,4wd,157.3,2240,108
subaru,gas,sedan,fwd,172,2145,108
subaru,gas,sedan,fwd,172,2190,108
subaru,gas,sedan,fwd,172,2340,108
subaru,gas,sedan,4wd,172,2385,108
subaru,gas,sedan,4wd,172,2510,108
subaru,gas,wagon,fwd,173.5,2290,108
subaru,gas,wagon,fwd,173.5,2455,108
subaru,gas,wagon,4wd,173.6,2420,108
subaru,gas,wagon,4wd,173.6,2650,108
toyota,gas,hatchback,fwd,158.7,1985,92
toyota,gas,hatchback,fwd,158.7,2040,92
toyota,gas,hatchback,fwd,158.7,2015,92
toyota,gas,wagon,fwd,169.7,2280,92
toyota,gas,wagon,4wd,169.7,2290,92
toyota,gas,wagon,4wd,169.7,3110,92
toyota,gas,sedan,fwd,166.3,2081,98
toyota,gas,hatchback,fwd,166.3,2109,98
toyota,diesel,sedan,fwd,166.3,2275,110
toyota,diesel,hatchback,fwd,166.3,2275,110
toyota,gas,sedan,fwd,166.3,2094,98
toyota,gas,hatchback,fwd,166.3,2122,98
toyota,gas,sedan,fwd,166.3,2140,98
toyota,gas,sedan,rwd,168.7,2169,98
toyota,gas,hatchback,rwd,168.7,2204,98
toyota,gas,sedan,rwd,168.7,2265,98
toyota,gas,hatchback,rwd,168.7,2300,98
toyota,gas,hardtop,rwd,176.2,2540,146
toyota,gas,hardtop,rwd,176.2,2536,146
toyota,gas,hatchback,rwd,176.2,2551,146
toyota,gas,hardtop,rwd,176.2,2679,146
toyota,gas,hatchback,rwd,176.2,2714,146
toyota,gas,convertible,rwd,176.2,2975,146
toyota,gas,sedan,fwd,175.6,2326,122
toyota,diesel,sedan,fwd,175.6,2480,110
toyota,gas,hatchback,fwd,175.6,2414,122
toyota,gas,sedan,fwd,175.6,2414,122
toyota,gas,hatchback,fwd,175.6,2458,122
toyota,gas,hatchback,rwd,183.5,2976,171
toyota,gas,hatchback,rwd,183.5,3016,171
toyota,gas,sedan,rwd,187.8,3131,171
toyota,gas,wagon,rwd,187.8,3151,161
volkswagen,diesel,sedan,fwd,171.7,2261,97
volkswagen,gas,sedan,fwd,171.7,2209,109
volkswagen,diesel,sedan,fwd,171.7,2264,97
volkswagen,gas,sedan,fwd,171.7,2212,109
volkswagen,gas,sedan,fwd,171.7,2275,109
volkswagen,diesel,sedan,fwd,171.7,2319,97
volkswagen,gas,sedan,fwd,171.7,2300,109
volkswagen,gas,convertible,fwd,159.3,2254,109
volkswagen,gas,hatchback,fwd,165.7,2221,109
volkswagen,gas,sedan,fwd,180.2,2661,136
volkswagen,diesel,sedan,fwd,180.2,2579,97
volkswagen,gas,wagon,fwd,183.1,2563,109
volvo,gas,sedan,rwd,188.8,2912,141
volvo,gas,wagon,rwd,188.8,3034,141
volvo,gas,sedan,rwd,188.8,2935,141
volvo,gas,wagon,rwd,188.8,3042,141
volvo,gas,sedan,rwd,188.8,3045,130
volvo,gas,wagon,rwd,188.8,3157,130
volvo,gas,sedan,rwd,188.8,2952,141
volvo,gas,sedan,rwd,188.8,3049,141
volvo,gas,sedan,rwd,188.8,3012,173
volvo,diesel,sedan,rwd,188.8,3217,145
volvo,gas,sedan,rwd,188.8,3062,141
